job_id,client,design,material,layer_height,est_duration,priority,scenario
ds-job-000,client-acme,part_000.3mf,mat-pla-001,0.1,111,4,sabotaged
ds-job-001,client-globex,part_001.3mf,mat-abs-001,0.1,164,4,legitimate
ds-job-002,client-acme,part_002.3mf,mat-petg-001,0.28,177,2,legitimate
ds-job-003,client-globex,part_003.3mf,mat-pla-001,0.2,90,1,legitimate
ds-job-004,client-acme,part_004.3mf,mat-abs-001,0.15,117,7,legitimate
ds-job-005,client-globex,part_005.3mf,mat-petg-001,0.2,98,5,lazy-fake
ds-job-006,client-acme,part_006.3mf,mat-pla-001,0.28,101,7,legitimate
ds-job-007,client-globex,part_007.3mf,mat-abs-001,0.28,133,5,legitimate
ds-job-008,client-acme,part_008.3mf,mat-petg-001,0.28,171,5,legitimate
ds-job-009,client-globex,part_009.3mf,mat-pla-001,0.1,115,5,legitimate
ds-job-010,client-acme,part_010.3mf,mat-abs-001,0.28,107,8,legitimate
ds-job-011,client-globex,part_011.3mf,mat-petg-001,0.2,112,1,legitimate
ds-job-012,client-acme,part_012.3mf,mat-pla-001,0.15,106,8,legitimate
ds-job-013,client-globex,part_013.3mf,mat-abs-001,0.2,177,5,legitimate
ds-job-014,client-acme,part_014.3mf,mat-petg-001,0.1,141,4,sabotaged
ds-job-015,client-globex,part_015.3mf,mat-pla-001,0.15,178,2,sabotaged
ds-job-016,client-acme,part_016.3mf,mat-abs-001,0.2,111,1,legitimate
ds-job-017,client-globex,part_017.3mf,mat-petg-001,0.28,177,5,legitimate
ds-job-018,client-acme,part_018.3mf,mat-pla-001,0.28,132,5,legitimate
ds-job-019,client-globex,part_019.3mf,mat-abs-001,0.15,132,4,legitimate
ds-job-020,client-acme,part_020.3mf,mat-petg-001,0.1,157,1,legitimate
ds-job-021,client-globex,part_021.3mf,mat-pla-001,0.15,154,7,sabotaged
ds-job-022,client-acme,part_022.3mf,mat-abs-001,0.28,92,1,legitimate
ds-job-023,client-globex,part_023.3mf,mat-petg-001,0.28,127,1,lazy-fake
ds-job-024,client-acme,part_024.3mf,mat-pla-001,0.2,149,4,lazy-fake
ds-job-025,client-globex,part_025.3mf,mat-abs-001,0.2,97,4,legitimate
ds-job-026,client-acme,part_026.3mf,mat-petg-001,0.2,168,3,legitimate
ds-job-027,client-globex,part_027.3mf,mat-pla-001,0.2,95,3,legitimate
ds-job-028,client-acme,part_028.3mf,mat-abs-001,0.28,151,3,legitimate
ds-job-029,client-globex,part_029.3mf,mat-petg-001,0.2,171,5,sabotaged
ds-job-030,client-acme,part_030.3mf,mat-pla-001,0.28,158,8,legitimate
ds-job-031,client-globex,part_031.3mf,mat-abs-001,0.1,179,4,legitimate
ds-job-032,client-acme,part_032.3mf,mat-petg-001,0.15,174,1,legitimate
ds-job-033,client-globex,part_033.3mf,mat-pla-001,0.28,141,6,legitimate
ds-job-034,client-acme,part_034.3mf,mat-abs-001,0.2,162,2,legitimate
ds-job-035,client-globex,part_035.3mf,mat-petg-001,0.15,166,7,legitimate
ds-job-036,client-acme,part_036.3mf,mat-pla-001,0.28,163,1,legitimate
ds-job-037,client-globex,part_037.3mf,mat-abs-001,0.2,167,4,sabotaged
ds-job-038,client-acme,part_038.3mf,mat-petg-001,0.28,161,5,legitimate
ds-job-039,client-globex,part_039.3mf,mat-pla-001,0.2,97,2,legitimate
ds-job-040,client-acme,part_040.3mf,mat-abs-001,0.1,110,2,lazy-fake
ds-job-041,client-globex,part_041.3mf,mat-petg-001,0.15,171,1,legitimate
ds-job-042,client-acme,part_042.3mf,mat-pla-001,0.15,106,3,legitimate
ds-job-043,client-globex,part_043.3mf,mat-abs-001,0.28,117,7,lazy-fake
ds-job-044,client-acme,part_044.3mf,mat-petg-001,0.28,141,3,lazy-fake
ds-job-045,client-globex,part_045.3mf,mat-pla-001,0.15,102,1,lazy-fake
ds-job-046,client-acme,part_046.3mf,mat-abs-001,0.1,175,4,lazy-fake
ds-job-047,client-globex,part_047.3mf,mat-petg-001,0.28,108,2,legitimate
ds-job-048,client-acme,part_048.3mf,mat-pla-001,0.28,136,5,legitimate
ds-job-049,client-globex,part_049.3mf,mat-abs-001,0.28,170,7,sabotaged
ds-job-050,client-acme,part_050.3mf,mat-petg-001,0.2,156,5,lazy-fake
ds-job-051,client-globex,part_051.3mf,mat-pla-001,0.15,164,8,legitimate
ds-job-052,client-acme,part_052.3mf,mat-abs-001,0.15,169,4,legitimate
ds-job-053,client-globex,part_053.3mf,mat-petg-001,0.28,154,1,legitimate
ds-job-054,client-acme,part_054.3mf,mat-pla-001,0.1,96,4,legitimate
ds-job-055,client-globex,part_055.3mf,mat-abs-001,0.2,104,5,legitimate
ds-job-056,client-acme,part_056.3mf,mat-petg-001,0.2,175,3,sabotaged
ds-job-057,client-globex,part_057.3mf,mat-pla-001,0.28,160,6,legitimate
ds-job-058,client-acme,part_058.3mf,mat-abs-001,0.15,150,6,legitimate
ds-job-059,client-globex,part_059.3mf,mat-petg-001,0.2,102,8,legitimate
ds-job-060,client-acme,part_060.3mf,mat-pla-001,0.15,177,3,sabotaged
ds-job-061,client-globex,part_061.3mf,mat-abs-001,0.15,145,6,legitimate
ds-job-062,client-acme,part_062.3mf,mat-petg-001,0.1,108,1,legitimate
ds-job-063,client-globex,part_063.3mf,mat-pla-001,0.1,132,3,sabotaged
ds-job-064,client-acme,part_064.3mf,mat-abs-001,0.28,172,7,lazy-fake
ds-job-065,client-globex,part_065.3mf,mat-petg-001,0.1,143,6,legitimate
ds-job-066,client-acme,part_066.3mf,mat-pla-001,0.28,144,4,sabotaged
ds-job-067,client-globex,part_067.3mf,mat-abs-001,0.2,105,4,sabotaged
ds-job-068,client-acme,part_068.3mf,mat-petg-001,0.15,149,3,legitimate
ds-job-069,client-globex,part_069.3mf,mat-pla-001,0.28,101,7,legitimate
ds-job-070,client-acme,part_070.3mf,mat-abs-001,0.1,131,6,lazy-fake
ds-job-071,client-globex,part_071.3mf,mat-petg-001,0.2,127,1,legitimate
ds-job-072,client-acme,part_072.3mf,mat-pla-001,0.2,106,1,legitimate
ds-job-073,client-globex,part_073.3mf,mat-abs-001,0.15,150,1,legitimate
ds-job-074,client-acme,part_074.3mf,mat-petg-001,0.2,158,7,legitimate
ds-job-075,client-globex,part_075.3mf,mat-pla-001,0.2,170,7,lazy-fake
ds-job-076,client-acme,part_076.3mf,mat-abs-001,0.28,100,8,sabotaged
ds-job-077,client-globex,part_077.3mf,mat-petg-001,0.28,152,6,legitimate
ds-job-078,client-acme,part_078.3mf,mat-pla-001,0.28,168,5,lazy-fake
ds-job-079,client-globex,part_079.3mf,mat-abs-001,0.28,163,3,legitimate
ds-job-080,client-acme,part_080.3mf,mat-petg-001,0.1,94,1,legitimate
ds-job-081,client-globex,part_081.3mf,mat-pla-001,0.1,129,3,legitimate
ds-job-082,client-acme,part_082.3mf,mat-abs-001,0.2,112,2,legitimate
ds-job-083,client-globex,part_083.3mf,mat-petg-001,0.1,175,8,legitimate
ds-job-084,client-acme,part_084.3mf,mat-pla-001,0.1,141,1,lazy-fake
ds-job-085,client-globex,part_085.3mf,mat-abs-001,0.2,117,1,lazy-fake
ds-job-086,client-acme,part_086.3mf,mat-petg-001,0.1,104,6,legitimate
ds-job-087,client-globex,part_087.3mf,mat-pla-001,0.1,97,4,legitimate
ds-job-088,client-acme,part_088.3mf,mat-abs-001,0.2,117,8,legitimate
ds-job-089,client-globex,part_089.3mf,mat-petg-001,0.2,167,6,sabotaged
ds-job-090,client-acme,part_090.3mf,mat-pla-001,0.15,163,6,legitimate
ds-job-091,client-globex,part_091.3mf,mat-abs-001,0.2,109,2,legitimate
ds-job-092,client-acme,part_092.3mf,mat-petg-001,0.28,107,5,legitimate
ds-job-093,client-globex,part_093.3mf,mat-pla-001,0.1,123,2,legitimate
ds-job-094,client-acme,part_094.3mf,mat-abs-001,0.15,162,8,legitimate
ds-job-095,client-globex,part_095.3mf,mat-petg-001,0.28,171,1,sabotaged
ds-job-096,client-acme,part_096.3mf,mat-pla-001,0.2,94,3,legitimate
ds-job-097,client-globex,part_097.3mf,mat-abs-001,0.15,165,2,legitimate
ds-job-098,client-acme,part_098.3mf,mat-petg-001,0.15,100,6,legitimate
ds-job-099,client-globex,part_099.3mf,mat-pla-001,0.28,101,3,legitimate
